"Elementary, Middle, or High School",CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Score,Family Involvement Score,Environment Score,Instruction Score,Leaders Score ,Teachers Score,Parent Engagement Score,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Ward,Police District
HS,Not on Probation,Level 1,No,98.0,NDA,80.0,77.0,NDA,NDA,NDA,NDA,93.4,0.7,96.1,NDA,NDA,21.2,21.8,23.1,23.2,2,27,3.9,96.4,96.9,82.4,881,33,90.7,27,18
HS,Probation,Level 3,No,41.0,39,43.0,31.0,19,32,NDA,NDA,66.8,19.7,95.4,NDA,NDA,12.2,11.9,13.3,13,0.8,13.8,0.5,6.7,49,51.9,599,37,59.3,28,11
HS,Not on Probation,Level 1,No,99.0,NDA,99.0,88.0,NDA,NDA,57,62,95.7,2.8,96.8,NDA,NDA,22.4,22.2,24.5,24.7,2.3,28.8,4.3,98,97.6,90.7,1053,31,95.9,40,17
HS,Probation,Level 3,No,,NDA,,,NDA,NDA,48,36,79.1,24.4,95.4,NDA,NDA,14,13.3,14.4,14.5,0.5,15.7,1.3,13,87.4,60.4,726,36,78.2,24,15
HS,Not on Probation,Level 2,No,50.0,50,61.0,62.0,48,53,NDA,NDA,88.7,8.1,95.9,NDA,NDA,13.6,13.9,14.9,14.7,1.1,16.9,2,19.6,62.4,65,473,32,91.4,46,19
HS,Not on Probation,Level 2,No,40.0,NDA,25.0,38.0,NDA,NDA,NDA,NDA,84.2,11.1,94.6,98.5,64.1,14.7,14.6,15.6,15.9,1.2,17.8,2.2,33.6,80,78.5,1584,49,73.3,19,22
HS,Probation,Level 3,No,41.0,38,42.0,43.0,32,15,51,43,92.3,16.2,95.6,NDA,NDA,14.3,13.8,15.3,15.7,1.4,16.3,1,14.7,85.3,73.2,550,42,71.1,3,2
HS,Probation,Level 3,No,20.0,NDA,18.0,29.0,NDA,NDA,41,38,75.2,5.8,94.3,NDA,NDA,13.4,13.3,14.3,14.3,0.9,15.2,0.9,13.1,52.5,50,1656,44,67.1,18,8
HS,Probation,Level 3,No,13.0,46,28.0,28.0,52,50,NDA,NDA,84.8,47.1,95.4,NDA,NDA,11.5,11.2,12.9,12.4,0.9,14.1,1.2,10.8,36.2,45.1,458,46,69.5,8,6
HS,Probation,Level 2,No,38.0,NDA,45.0,53.0,NDA,NDA,NDA,NDA,70.1,21.5,95.2,NDA,NDA,12,12.1,13.6,13.1,1.1,14.8,1.2,8.5,NDA,NDA,250,36,56.1,28,15
HS,Not on Probation,Level 2,No,51.0,33,49.0,47.0,49,49,50,46,91.6,4.0,96.0,NDA,NDA,12.9,13.4,14.6,14.1,1.2,16.2,1.6,14.6,69.4,48.1,382,37,76,22,10
HS,Probation,Level 2,No,48.0,NDA,47.0,42.0,NDA,NDA,56,52,89.2,22.4,96.7,NDA,NDA,13,13,14.4,14.1,1.1,15.6,1.2,21.1,58,58.5,324,37,78.7,22,10
HS,Not on Probation,Not Enough Data,No,50.0,NDA,59.0,59.0,NDA,NDA,50,47,90.4,44.3,0.0,NDA,NDA,12.6,13.5,NDA,13.9,1.3,NDA,NDA,NDA,NDA,NDA,48,36,40.9,24,10
HS,Probation,Level 3,No,43.0,35,37.0,45.0,33,39,NDA,NDA,85.0,9.1,95.0,NDA,NDA,14.2,14.2,15.6,15.1,0.9,16.9,1.3,22.9,76.1,61.3,3320,37,61,14,8
HS,Probation,Level 2,No,46.0,53,36.0,36.0,52,46,NDA,NDA,80.2,12.7,95.1,NDA,NDA,13.4,13.6,14.3,14.1,0.7,15.5,1.2,14,71.6,50.9,1524,47,78.6,10,4
HS,Not on Probation,Level 1,No,66.0,NDA,75.0,85.0,NDA,NDA,55,51,92.7,2.1,95.9,61.1,78.2,18,18.5,19.1,19,1,22.2,3.1,29.1,68.9,85.9,916,43,83.3,15,7
HS,Probation,Level 3,No,46.0,53,44.0,45.0,49,48,NDA,NDA,83.7,17.2,95.8,NDA,NDA,13.2,13.7,14.6,14.5,1.3,15.8,1.2,14.8,56.2,48.8,1683,39,71.1,25,12
HS,Probation,Level 3,No,29.0,39,34.0,43.0,35,41,NDA,NDA,70.5,18.5,94.2,NDA,NDA,13,12.8,14.4,14.1,1.1,15.6,1.2,11.1,51.1,57.6,1518,46,63.7,5,3
HS,Probation,Level 3,No,51.0,52,45.0,46.0,49,42,NDA,NDA,74.1,42.9,95.8,NDA,NDA,11.7,11.8,13.4,13.2,1.5,14.6,1.2,6.5,36.8,45.2,726,38,55.2,28,11
HS,Not on Probation,Level 2,No,70.0,39,42.0,51.0,26,29,NDA,NDA,87.0,4.0,95.6,NDA,NDA,15.9,15.7,17.3,16.7,0.8,20.4,3.1,34.6,88.2,78.5,1636,31,76.8,39,17
HS,Not Applicable,Not Enough Data,No,,52,,,47,60,63,60,85.5,13.1,95.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,40,71.7,NDA,201,43,NDA,17,7
HS,Not on Probation,Level 2,No,32.0,NDA,23.0,35.0,NDA,NDA,NDA,NDA,90.3,28.2,95.6,NDA,NDA,14.8,14.4,15.2,15.6,0.8,17.4,2.2,24.4,83.6,69.3,483,40,88.1,2,2
HS,Not on Probation,Not Enough Data,No,67.0,54,53.0,63.0,62,64,53,56,92.2,3.0,0.0,NDA,NDA,NDA,13.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,581,44,85.6,14,8
HS,Probation,Level 3,No,52.0,NDA,33.0,42.0,NDA,NDA,NDA,NDA,78.6,2.1,94.3,NDA,NDA,14.3,14.1,15.3,14.8,0.5,16.2,0.9,14.8,75.2,74,1535,45,68.5,21,6
HS,Probation,Level 3,No,51.0,44,44.0,41.0,37,42,50,44,78.2,7.5,95.9,NDA,NDA,14.6,13.8,14.7,15,0.4,15.8,1.1,22.6,56.1,45.9,967,44,87.4,13,8
HS,Probation,Level 3,No,51.0,44,43.0,42.0,27,41,43,41,81.1,8.7,95.9,NDA,NDA,13.8,13.9,14.9,14.8,1,16.7,1.8,16,64.6,49.1,1532,31,72.2,47,20
HS,Probation,Level 3,No,26.0,NDA,28.0,23.0,NDA,NDA,NDA,NDA,84.3,10.3,94.8,NDA,NDA,13,12.7,14.1,13.7,0.7,15.3,1.2,12.5,59.7,40.9,1716,29,75.6,30,16
HS,Probation,Level 3,No,29.0,57,31.0,37.0,57,49,NDA,NDA,76.9,21.5,96.0,NDA,NDA,12.8,12.7,13.9,13.8,1,14.7,0.8,6.9,61.7,51.5,1456,40,65.7,2,1
HS,Probation,Level 3,No,26.0,35,29.0,34.0,36,32,NDA,NDA,79.2,30.4,96.2,NDA,NDA,13,13.8,13.8,14.3,1.3,16.1,2.3,16.3,56.7,47,1890,30,70.3,36,25
HS,Not on Probation,Level 2,No,42.0,NDA,34.0,29.0,NDA,NDA,NDA,NDA,89.3,4.3,96.4,NDA,NDA,14.4,14.2,15.3,15.3,0.9,17.3,2,30.1,57.2,51.3,1672,44,64.5,13,8
HS,Not on Probation,Level 1,No,88.0,NDA,62.0,52.0,NDA,NDA,NDA,NDA,96.3,2.1,96.2,NDA,NDA,19.1,19.5,19.9,20.1,1,23.4,3.5,67.9,92.2,79.8,4368,35,90.7,47,19
HS,Probation,Level 3,No,48.0,36,36.0,29.0,30,31,NDA,NDA,81.2,13.8,96.0,NDA,NDA,13.1,12.9,14.3,14,0.9,15.6,1.3,9.7,62.1,40.4,2366,29,61.6,38,17
HS,Probation,Level 3,No,27.0,18,35.0,47.0,35,25,NDA,NDA,62.5,24.4,93.5,NDA,NDA,11.6,11.7,13,12.9,1.3,14,1,3.3,33.7,51,318,42,37.1,4,2
HS,Not on Probation,Level 1,No,53.0,NDA,59.0,78.0,NDA,NDA,52,48,92.1,4.3,97.4,NDA,NDA,14.7,14.9,15.9,15.9,1.2,18.6,2.7,33.9,74.8,51.3,461,38,74.1,2,11
HS,Probation,Level 3,No,27.0,43,21.0,30.0,34,39,NDA,NDA,68.8,33.3,94.6,NDA,NDA,12.5,12.6,13.8,13.2,0.7,14.3,0.5,7,49.5,54,833,47,44.1,8,4
HS,Not on Probation,Level 2,No,64.0,NDA,64.0,42.0,NDA,NDA,53,48,92.9,15.4,95.9,NDA,NDA,15.2,15.4,16.5,15.8,0.6,18.7,2.2,23.4,63,63.5,423,32,90.7,48,20
HS,Not on Probation,Level 2,No,64.0,NDA,52.0,43.0,NDA,NDA,49,43,87.7,8.5,96.2,NDA,NDA,15.3,15.8,16.1,16.7,1.4,17.8,1.7,36.6,81.4,62.8,1500,33,87.3,47,19
HS,Probation,Level 3,No,31.0,51,37.0,44.0,56,35,NDA,NDA,72.2,24.0,94.3,NDA,NDA,12.3,13,13.7,13.5,1.2,15,1.3,16.7,55.2,58.2,561,45,63.6,3,7
HS,Probation,Level 3,No,33.0,52,40.0,48.0,48,54,NDA,NDA,71.3,23.4,95.2,NDA,NDA,12,11.4,13,12.9,0.9,14.3,1.3,10.6,42.8,44,621,48,76.2,9,5
HS,Probation,Level 3,No,42.0,NDA,42.0,37.0,NDA,NDA,NDA,NDA,82.3,9.7,96.1,NDA,NDA,12.9,13.4,14.3,14,1.1,15.7,1.4,13.7,59.4,42.9,1490,31,61.2,33,17
HS,Not on Probation,Level 2,No,53.0,NDA,37.0,34.0,NDA,NDA,NDA,NDA,91.6,8.9,96.4,NDA,NDA,14.5,14.2,15,14.9,0.4,16.8,1.8,21.2,78.7,60.5,532,48,79.5,9,5
HS,Probation,Level 3,No,,71,,,80,79,NDA,NDA,63.0,22.0,96.1,NDA,NDA,11.5,12.8,13.4,12.9,1.4,15,1.6,2.5,40.3,42.6,590,40,32.1,3,2
HS,Probation,Level 2,No,42.0,NDA,52.0,52.0,NDA,NDA,NDA,NDA,84.5,25.0,96.5,NDA,NDA,12.3,12.5,13.6,13.6,1.3,14.4,0.8,NDA,NDA,NDA,410,36,82,28,15
HS,Not on Probation,Level 1,No,,NDA,,,NDA,NDA,58,55,96.7,0.0,94.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,20.7,NDA,40.6,NDA,63.3,200,35,NDA,47,19
HS,Not on Probation,Level 2,No,36.0,53,36.0,35.0,61,57,NDA,NDA,89.3,5.8,95.3,NDA,NDA,13.4,13.4,15.1,14.6,1.2,17.1,2,22.1,67.4,46.4,2883,39,65.6,14,9
HS,Probation,Level 2,No,22.0,32,39.0,42.0,31,31,49,53,73.0,63.6,94.7,NDA,NDA,12.2,11.9,13.1,13.4,1.2,14.4,1.3,5.9,37,40.3,621,43,64.2,15,7
HS,Probation,Level 3,No,29.0,NDA,33.0,40.0,NDA,NDA,NDA,NDA,73.5,26.4,94.7,NDA,NDA,11.6,11,12.7,12.7,1.1,13.6,0.9,2.9,40.6,42.2,733,45,53.3,6,7
HS,Probation,Level 3,No,14.0,43,29.0,37.0,38,35,NDA,NDA,72.5,19.5,94.0,NDA,NDA,12.4,12,13.8,13.6,1.2,14.1,0.3,7.9,52.8,40.3,1052,43,46,16,8
HS,Probation,Level 3,No,48.0,NDA,45.0,42.0,NDA,NDA,NDA,NDA,81.7,41.3,96.4,NDA,NDA,12.8,14.3,14.3,13.9,1.1,15.8,1.5,17.5,40.1,54.4,1053,32,79.8,48,20
HS,Not on Probation,Level 2,No,61.0,NDA,37.0,32.0,NDA,NDA,NDA,NDA,89.1,9.8,96.1,74.4,60,14.8,15.7,15.9,16.4,1.6,17.9,2,32.3,67.4,62.2,2922,30,77.3,41,16
HS,Not on Probation,Not Enough Data,No,56.0,NDA,39.0,24.0,NDA,NDA,NDA,NDA,94.2,13.7,0.0,58.7,29,14.5,14.7,NDA,16,1.5,NDA,NDA,NDA,NDA,NDA,558,35,93.3,27,13
HS,Not on Probation,Level 2,No,65.0,61,44.0,49.0,45,45,NDA,NDA,84.6,9.2,96.0,NDA,NDA,17.7,18,18.6,19,1.3,21.6,3,53.6,77.9,75.5,2342,33,74.4,43,18
HS,Probation,Level 2,No,42.0,NDA,39.0,25.0,NDA,NDA,NDA,NDA,88.6,15.3,95.6,NDA,NDA,13.3,12.8,14.1,14.2,0.9,15.4,1.3,15.8,69.7,41.3,883,34,81.3,31,25
HS,Probation,Level 3,No,,NDA,,,NDA,NDA,NDA,NDA,66.3,10.2,95.0,NDA,NDA,11.7,12,13.6,13.3,1.6,15.1,1.5,5.8,NDA,51.9,831,34,59.5,28,11
HS,Probation,Level 3,No,43.0,NDA,50.0,48.0,NDA,NDA,47,46,57.9,19.9,93.9,NDA,NDA,12,11.9,13.2,13.6,1.6,14,0.8,3.7,48,32.6,478,38,40.9,2,12
HS,Not on Probation,Level 2,No,63.0,NDA,48.0,56.0,NDA,NDA,NDA,NDA,88.4,5.9,95.3,81.2,49,15.6,15.1,16.8,16.9,1.3,19.1,2.3,26.8,69.5,79.7,1852,46,70.3,4,2
HS,Probation,Level 2,No,30.0,23,32.0,19.0,42,34,43,47,90.6,17.3,95.7,NDA,NDA,11.8,12,13.1,12.8,1,14,0.9,5.5,57.3,43.1,473,42,63.5,16,9
HS,Not on Probation,Level 2,No,60.0,42,51.0,46.0,47,48,54,56,91.4,2.9,96.6,NDA,NDA,12.5,12.5,14.2,14.1,1.6,15.6,1.4,20.5,NDA,NDA,409,37,70.4,24,10
HS,Not on Probation,Level 2,No,59.0,47,53.0,51.0,37,44,46,45,86.0,9.7,94.4,NDA,NDA,15.5,15.1,16.3,16.2,0.7,17.9,1.6,27.7,78.7,58,1415,29,79.4,37,25
HS,Not on Probation,Not Enough Data,No,74.0,72,77.0,80.0,86,71,54,60,93.6,2.0,96.8,NDA,NDA,16.1,16.9,NDA,17.1,1,NDA,NDA,NDA,NDA,NDA,828,34,90.5,28,11
HS,Probation,Level 2,No,44.0,31,39.0,34.0,28,25,NDA,NDA,69.6,20.6,94.2,NDA,NDA,12.6,12.3,14,13.3,0.7,15.4,1.4,12.5,49.5,41.5,1016,35,58.9,1,13
HS,Probation,Level 2,No,34.0,57,45.0,37.0,54,35,51,47,78.4,13.0,95.2,NDA,NDA,11.6,12,12.9,12.9,1.3,13.5,0.6,10.5,41.1,37,461,42,86.5,11,9
HS,Not Applicable,Not Enough Data,No,57.0,72,33.0,20.0,67,69,63,57,87.6,3.7,95.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,55.6,65.3,NDA,203,30,NDA,38,16
HS,Not on Probation,Level 1,No,95.0,80,69.0,67.0,52,46,53,50,94.6,1.2,94.9,56.3,89.2,20.8,21,22.6,22.8,2,26.6,4,89,93.9,88.3,2166,38,96.7,2,12
HS,Not on Probation,Level 2,No,70.0,NDA,92.0,87.0,NDA,NDA,56,51,95.6,9.7,95.7,NDA,NDA,14.3,14.6,15.5,15.9,1.6,16.9,1.4,35,73.7,65.2,205,39,92.8,12,10
HS,Not on Probation,Level 1,No,,NDA,,,NDA,NDA,56,52,92.9,4.4,96.3,NDA,NDA,17.4,17.7,17.7,18.1,0.7,20.5,2.8,31.9,75.4,85.1,915,40,91.1,4,2
HS,Not on Probation,Level 1,No,92.0,NDA,64.0,67.0,NDA,NDA,NDA,NDA,93.8,4.5,95.3,NDA,NDA,19.6,20.3,21.3,21.1,1.5,24.8,3.5,83.3,90.1,86.9,871,38,92.8,2,1
HS,Probation,Level 3,No,52.0,NDA,51.0,53.0,NDA,NDA,NDA,NDA,80.3,14.0,95.1,NDA,NDA,12.8,13,14.1,14,1.2,15.2,1.1,13.5,72.2,64.2,551,34,74.3,28,11
HS,Probation,Level 3,No,28.0,50,30.0,35.0,53,51,NDA,NDA,74.6,33.4,94.2,NDA,NDA,13.1,12.8,14.2,13.9,0.8,14.8,0.6,8.3,60.3,54.9,1226,49,65.3,21,22
HS,Probation,Level 3,No,44.0,NDA,39.0,37.0,NDA,NDA,50,44,79.2,28.0,94.7,NDA,NDA,13,12.3,13.8,13.5,0.5,14.8,1,5.1,52.8,39.5,354,36,77.1,29,15
HS,Not Applicable,Not Enough Data,No,90.0,82,52.0,39.0,63,52,53,58,86.3,3.7,94.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,18.8,10.3,NDA,137,40,NDA,2,1
HS,Not on Probation,Level 2,No,50.0,NDA,45.0,54.0,NDA,NDA,NDA,NDA,91.3,5.4,96.7,64.1,25,15,15.1,15.8,15.4,0.4,17.5,1.7,32.7,NDA,NDA,324,42,90.1,3,2
HS,Probation,Level 3,No,36.0,28,41.0,32.0,46,42,NDA,NDA,74.4,49.8,95.4,NDA,NDA,12,12.1,12.9,13.3,1.3,14,1.1,11.3,34.8,36.7,688,48,68.2,34,22
HS,Probation,Level 3,No,43.0,72,46.0,44.0,81,65,53,46,87.5,16.4,95.1,NDA,NDA,13.6,14,14.5,14.4,0.8,15.7,1.2,14.9,67,57.4,371,37,87.4,22,10
HS,Probation,Level 2,No,51.0,49,41.0,38.0,65,49,NDA,NDA,74.1,16.9,96.2,NDA,NDA,12.8,12.4,14.2,13.6,0.8,14.9,0.7,7.2,59.3,43.8,633,35,61.3,1,13
HS,Probation,Level 2,No,43.0,NDA,42.0,32.0,NDA,NDA,NDA,NDA,86.1,18.6,95.2,NDA,NDA,12.6,12.9,14.4,13.9,1.3,16,1.6,13.4,43.2,31.3,1456,37,68.6,22,10
HS,Probation,Level 3,No,38.0,NDA,41.0,33.0,NDA,NDA,NDA,NDA,76.0,12.4,0.0,NDA,NDA,12,12,14.3,12.9,0.9,14.4,0.1,12.2,65.6,51.3,316,36,NDA,28,15
HS,Not on Probation,Not Enough Data,No,70.0,NDA,67.0,51.0,NDA,NDA,57,43,92.7,7.1,96.9,NDA,NDA,14.7,13.7,NDA,16,1.3,NDA,NDA,NDA,NDA,NDA,232,33,87.6,1,19
HS,Probation,Level 3,No,,NDA,,,NDA,NDA,NDA,NDA,81.2,21.6,94.4,100,40,13.2,12.9,14.1,13.7,0.5,14.7,0.6,5.9,47.9,55.7,1245,48,64.4,6,5
HS,Not on Probation,Level 1,No,64.0,NDA,44.0,49.0,NDA,NDA,47,49,87.1,0.1,95.2,NDA,NDA,18,18.2,18.7,18.7,0.7,21.5,2.8,51.1,88.1,87.9,783,48,90.3,9,5
HS,Not on Probation,Level 2,No,58.0,35,57.0,53.0,56,57,NDA,NDA,93.1,6.3,96.1,NDA,NDA,14.6,14.4,16.3,16.1,1.5,18.4,2.1,23.9,70.1,64.2,502,30,80.6,38,16
HS,Not Applicable,Not Enough Data,No,99.0,99,81.0,34.0,75,84,62,59,89.8,5.3,95.6,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,66.7,0,NDA,298,31,NDA,39,17
HS,Not on Probation,Not Enough Data,Yes,49.0,60,60.0,55.0,45,54,53,49,93.3,15.6,96.9,NDA,NDA,14.6,14.8,NDA,16,1.4,NDA,NDA,NDA,NDA,NDA,302,40,91.8,11,9
HS,Not on Probation,Level 2,No,41.0,49,38.0,34.0,53,35,54,49,91.3,4.5,95.3,NDA,NDA,14,15,15.9,15.3,1.3,17.7,1.8,37.7,NDA,NDA,366,38,86.3,2,11
HS,Probation,Level 3,No,17.0,23,37.0,25.0,29,6,NDA,NDA,75.6,61.8,94.7,NDA,NDA,12.1,12.3,13.9,13.2,1.1,14.7,0.8,16.7,67.2,52.4,701,47,62.1,7,4
HS,Probation,Level 3,No,30.0,44,34.0,34.0,42,33,44,45,81.6,14.7,95.8,NDA,NDA,12.6,13.2,13.8,13.5,0.9,15.4,1.6,14.8,39.3,52.1,826,32,68.6,40,24
HS,Probation,Level 3,No,53.0,30,32.0,27.0,22,24,NDA,NDA,83.0,22.0,94.7,NDA,NDA,14.8,14.1,15.1,15.6,0.8,16.4,1.3,24.4,53.3,52.9,1589,44,59.7,23,8
HS,Probation,Level 3,No,32.0,28,32.0,28.0,19,43,NDA,NDA,74.4,12.9,94.5,NDA,NDA,12.8,12.2,13.8,13.8,1,14.9,1.1,16.7,54.1,35,1252,29,56.9,31,25
HS,Not on Probation,Level 1,No,87.0,77,49.0,47.0,57,40,52,55,92.8,5.2,95.2,NDA,NDA,16.1,16.5,16.9,17.4,1.3,20.4,3.5,30.7,70.7,79.6,579,49,88.1,19,22
HS,Not on Probation,Level 2,No,58.0,44,48.0,47.0,50,56,NDA,NDA,87.6,7.6,96.5,NDA,NDA,14.5,14.4,15,15.4,0.9,15.9,0.9,24.6,56.2,57.4,1657,32,59,40,20
HS,Probation,Level 3,No,,30,,,16,28,42,31,72.0,43.4,95.2,NDA,NDA,11.7,11.7,13.1,13.1,1.4,14.4,1.3,12.2,36.6,68.8,731,46,48.8,8,4
HS,Probation,Level 2,No,45.0,48,55.0,53.0,74,68,58,49,87.3,8.2,96.5,NDA,NDA,12,12.4,14.3,13.3,1.3,15.3,1,7.9,NDA,NDA,440,45,77.4,20,7
HS,Not on Probation,Level 2,No,58.0,NDA,66.0,65.0,NDA,NDA,51,48,92.2,7.5,96.0,NDA,NDA,14.1,15,14.8,15.1,1,17.2,2.4,29,84.4,55.7,388,37,98.1,22,10
